term.id	term.name	term.size	p.value
GO:0000784	nuclear chromosome, telomeric region	100	1.16e-19
GO:0044764	multi-organism cellular process	619	1.2e-19
GO:0051254	positive regulation of RNA metabolic process	997	1.65e-19
GO:0030055	cell-substrate junction	344	2.56e-19
GO:0005924	cell-substrate adherens junction	340	6.5e-19
GO:0044419	interspecies interaction between organisms	630	6.81e-19
GO:0044403	symbiosis, encompassing mutualism through parasitism	630	6.81e-19
GO:0005925	focal adhesion	339	1.45e-18
GO:0072594	establishment of protein localization to organelle	501	1.81e-18
GO:1902680	positive regulation of RNA biosynthetic process	966	1.87e-18
GO:0010557	positive regulation of macromolecule biosynthetic process	1131	2.83e-18
GO:0034728	nucleosome organization	92	4.25e-18
GO:0004386	helicase activity	93	9.7e-18
GO:0044265	cellular macromolecule catabolic process	719	1.17e-17
GO:0010628	positive regulation of gene expression	1161	1.33e-17
GO:1903508	positive regulation of nucleic acid-templated transcription	945	1.43e-17
GO:0045893	positive regulation of transcription, DNA-templated	945	1.43e-17
GO:0070647	protein modification by small protein conjugation or removal	655	1.54e-17
GO:0044770	cell cycle phase transition	439	2.74e-17
GO:0016607	nuclear speck	82	2.75e-17
GO:0006333	chromatin assembly or disassembly	102	2.92e-17
GO:0015934	large ribosomal subunit	55	3e-17
GO:0006403	RNA localization	154	3.11e-17
GO:0043487	regulation of RNA stability	126	3.18e-17
GO:0034655	nucleobase-containing compound catabolic process	298	3.54e-17
GO:0010608	posttranscriptional regulation of gene expression	319	4.78e-17
GO:0033554	cellular response to stress	1392	4.94e-17
GO:0065003	macromolecular complex assembly	1132	5.03e-17
GO:0006323	DNA packaging	108	5.22e-17
GO:0032446	protein modification by small protein conjugation	571	7.11e-17
GO:0008026	ATP-dependent helicase activity	76	7.87e-17
GO:0070035	purine NTP-dependent helicase activity	76	7.87e-17
GO:0006338	chromatin remodeling	115	1.64e-16
GO:0000122	negative regulation of transcription from RNA polymerase II promoter	447	2.41e-16
GO:0043488	regulation of mRNA stability	124	2.79e-16
GO:0044772	mitotic cell cycle phase transition	417	4.57e-16
GO:0042393	histone binding	128	5.87e-16
GO:0030684	preribosome	43	6.08e-16
GO:0043566	structure-specific DNA binding	86	8.01e-16
GO:0031497	chromatin assembly	79	1.13e-15
GO:0050684	regulation of mRNA processing	65	1.41e-15
GO:0051168	nuclear export	153	1.85e-15
GO:0046700	heterocycle catabolic process	321	2.53e-15
GO:0071166	ribonucleoprotein complex localization	114	2.82e-15
GO:0031328	positive regulation of cellular biosynthetic process	1222	3.39e-15
GO:0000988	transcription factor activity, protein binding	463	5.81e-15
GO:0070603	SWI/SNF superfamily-type complex	62	6.95e-15
GO:0019439	aromatic compound catabolic process	328	7.58e-15
GO:0016458	gene silencing	165	8.42e-15
GO:0009891	positive regulation of biosynthetic process	1242	9.82e-15
GO:0051169	nuclear transport	357	1.03e-14
GO:0044270	cellular nitrogen compound catabolic process	326	1.19e-14
GO:0071426	ribonucleoprotein complex export from nucleus	111	1.33e-14
GO:0000987	core promoter proximal region sequence-specific DNA binding	191	1.6e-14
GO:0000978	RNA polymerase II core promoter proximal region sequence-specific DNA binding	182	1.84e-14
GO:0007059	chromosome segregation	243	2.03e-14
GO:0000989	transcription factor activity, transcription factor binding	458	2.59e-14
GO:0051726	regulation of cell cycle	704	3.35e-14
GO:0044877	macromolecular complex binding	744	3.62e-14
GO:0001159	core promoter proximal region DNA binding	193	3.7e-14
GO:0006913	nucleocytoplasmic transport	351	3.82e-14
GO:0022627	cytosolic small ribosomal subunit	36	3.89e-14
GO:1990234	transferase complex	552	6.37e-14
GO:0006334	nucleosome assembly	65	1.22e-13
GO:0006405	RNA export from nucleus	112	1.3e-13
GO:0040029	regulation of gene expression, epigenetic	184	1.64e-13
GO:1901361	organic cyclic compound catabolic process	342	1.65e-13
GO:0000723	telomere maintenance	110	2.08e-13
GO:0003712	transcription cofactor activity	426	2.1e-13
GO:0051052	regulation of DNA metabolic process	264	2.82e-13
GO:0008134	transcription factor binding	384	3.33e-13
GO:0032200	telomere organization	111	3.74e-13
GO:1905368	peptidase complex	55	6.22e-13
GO:0006302	double-strand break repair	150	6.29e-13
GO:0031124	mRNA 3'-end processing	77	6.92e-13
GO:0031491	nucleosome binding	34	7.58e-13
GO:0030532	small nuclear ribonucleoprotein complex	53	8.31e-13
GO:0090150	establishment of protein localization to membrane	295	8.54e-13
GO:0042273	ribosomal large subunit biogenesis	38	8.58e-13
GO:0003729	mRNA binding	107	9.56e-13
GO:1903311	regulation of mRNA metabolic process	86	1.62e-12
GO:0097525	spliceosomal snRNP complex	47	1.78e-12
GO:0000775	chromosome, centromeric region	114	2.04e-12
GO:0016887	ATPase activity	330	2.22e-12
GO:0000819	sister chromatid segregation	191	2.73e-12
GO:0050839	cell adhesion molecule binding	389	3e-12
GO:0045944	positive regulation of transcription from RNA polymerase II promoter	669	3.13e-12
GO:0031123	RNA 3'-end processing	98	3.41e-12
GO:0010564	regulation of cell cycle process	449	3.5e-12
GO:0050658	RNA transport	124	4.08e-12
GO:1905369	endopeptidase complex	50	4.08e-12
GO:0050657	nucleic acid transport	124	4.08e-12
GO:0000502	proteasome complex	50	4.08e-12
GO:0043044	ATP-dependent chromatin remodeling	57	4.27e-12
GO:0000981	RNA polymerase II transcription factor activity, sequence-specific DNA binding	395	5.31e-12
GO:0006406	mRNA export from nucleus	99	6.22e-12
GO:0071427	mRNA-containing ribonucleoprotein complex export from nucleus	99	6.22e-12
GO:0098813	nuclear chromosome segregation	210	7.42e-12
GO:0051436	negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle	70	7.84e-12
GO:0034708	methyltransferase complex	86	9.63e-12
GO:0015935	small ribosomal subunit	42	1.04e-11
GO:0006260	DNA replication	221	1.07e-11
GO:0046907	intracellular transport	1183	1.2e-11
GO:0042274	ribosomal small subunit biogenesis	40	1.22e-11
GO:0051437	positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition	76	1.47e-11
GO:0051439	regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle	71	1.67e-11
GO:0051236	establishment of RNA localization	127	1.82e-11
GO:1901987	regulation of cell cycle phase transition	254	2.37e-11
GO:1901990	regulation of mitotic cell cycle phase transition	237	2.46e-11
GO:0006369	termination of RNA polymerase II transcription	59	2.53e-11
GO:0043484	regulation of RNA splicing	77	2.95e-11
GO:1904667	negative regulation of ubiquitin protein ligase activity	72	3.48e-11
GO:0051028	mRNA transport	102	3.5e-11
GO:0000245	spliceosomal complex assembly	41	4.07e-11
GO:0017111	nucleoside-triphosphatase activity	511	5.04e-11
GO:0031492	nucleosomal DNA binding	22	6.58e-11
GO:1904668	positive regulation of ubiquitin protein ligase activity	79	1.13e-10
GO:0005198	structural molecule activity	397	1.18e-10
GO:0006342	chromatin silencing	56	1.26e-10
GO:0005911	cell-cell junction	439	1.33e-10
GO:0051444	negative regulation of ubiquitin-protein transferase activity	77	1.78e-10
GO:0009057	macromolecule catabolic process	894	1.83e-10
GO:0044815	DNA packaging complex	28	2.45e-10
GO:0031490	chromatin DNA binding	52	2.63e-10
GO:0003724	RNA helicase activity	57	2.91e-10
GO:0032993	protein-DNA complex	78	3.41e-10
GO:0051443	positive regulation of ubiquitin-protein transferase activity	92	3.71e-10
GO:0034399	nuclear periphery	65	4.01e-10
GO:0045814	negative regulation of gene expression, epigenetic	73	4.37e-10
GO:0007062	sister chromatid cohesion	113	5.21e-10
GO:1903321	negative regulation of protein modification by small protein conjugation or removal	116	5.23e-10
GO:0031145	anaphase-promoting complex-dependent catabolic process	79	6.42e-10
GO:1903320	regulation of protein modification by small protein conjugation or removal	210	6.99e-10
GO:0006605	protein targeting	505	7.07e-10
GO:1904666	regulation of ubiquitin protein ligase activity	82	7.48e-10
GO:0031397	negative regulation of protein ubiquitination	111	8.4e-10
GO:2000060	positive regulation of protein ubiquitination involved in ubiquitin-dependent protein catabolic process	85	8.52e-10
GO:0004004	ATP-dependent RNA helicase activity	56	9.75e-10
GO:0008186	RNA-dependent ATPase activity	56	9.75e-10
GO:1902582	single-organism intracellular transport	539	1.15e-09
GO:0016817	hydrolase activity, acting on acid anhydrides	543	1.16e-09
GO:0016818	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides	543	1.16e-09
GO:0016462	pyrophosphatase activity	543	1.16e-09
GO:0008094	DNA-dependent ATPase activity	67	1.66e-09
GO:0007346	regulation of mitotic cell cycle	375	1.68e-09
GO:1903322	positive regulation of protein modification by small protein conjugation or removal	160	2.11e-09
GO:0000786	nucleosome	22	2.88e-09
GO:2000058	regulation of protein ubiquitination involved in ubiquitin-dependent protein catabolic process	91	4.99e-09
GO:0071897	DNA biosynthetic process	143	5.17e-09
GO:0042623	ATPase activity, coupled	252	6.01e-09
GO:0006353	DNA-templated transcription, termination	92	8.47e-09
GO:0051438	regulation of ubiquitin-protein transferase activity	101	9.18e-09
GO:0008135	translation factor activity, RNA binding	62	1.25e-08
GO:0032040	small-subunit processome	21	1.34e-08
GO:0042255	ribosome assembly	33	1.41e-08
GO:0048024	regulation of mRNA splicing, via spliceosome	40	1.82e-08
GO:0005684	U2-type spliceosomal complex	25	2.04e-08
GO:0000118	histone deacetylase complex	50	2.4e-08
GO:0051641	cellular localization	1806	2.44e-08
GO:0010501	RNA secondary structure unwinding	38	2.48e-08
GO:0015931	nucleobase-containing compound transport	144	2.61e-08
GO:0003713	transcription coactivator activity	254	2.69e-08
GO:0006310	DNA recombination	161	3.23e-08
GO:0000788	nuclear nucleosome	18	3.69e-08
GO:0031396	regulation of protein ubiquitination	192	3.92e-08
GO:0035326	enhancer binding	62	7.43e-08
GO:0030490	maturation of SSU-rRNA	28	7.83e-08
GO:0033044	regulation of chromosome organization	115	8.19e-08
GO:0038061	NIK/NF-kappaB signaling	91	1e-07
GO:0072657	protein localization to membrane	383	1.02e-07
GO:0006521	regulation of cellular amino acid metabolic process	52	1.1e-07
GO:1903052	positive regulation of proteolysis involved in cellular protein catabolic process	145	1.25e-07
GO:0006261	DNA-dependent DNA replication	107	1.45e-07
GO:0072331	signal transduction by p53 class mediator	221	1.46e-07
GO:1901566	organonitrogen compound biosynthetic process	954	1.66e-07
GO:0005635	nuclear envelope	247	1.85e-07
GO:0035097	histone methyltransferase complex	69	1.86e-07
GO:1902275	regulation of chromatin organization	105	2.33e-07
GO:0034613	cellular protein localization	1131	2.41e-07
GO:1903364	positive regulation of cellular protein catabolic process	157	2.5e-07
GO:0031398	positive regulation of protein ubiquitination	147	2.52e-07
GO:0070727	cellular macromolecule localization	1138	3.21e-07
GO:0001158	enhancer sequence-specific DNA binding	51	3.5e-07
GO:0050686	negative regulation of mRNA processing	21	3.54e-07
GO:0002181	cytoplasmic translation	41	3.9e-07
GO:0000792	heterochromatin	41	3.9e-07
GO:0003714	transcription corepressor activity	172	3.95e-07
GO:0005856	cytoskeleton	1145	4.25e-07
GO:0000387	spliceosomal snRNP assembly	34	4.52e-07
GO:0033238	regulation of cellular amine metabolic process	60	6.59e-07
GO:0090263	positive regulation of canonical Wnt signaling pathway	92	6.68e-07
GO:0017053	transcriptional repressor complex	63	7.58e-07
GO:0030686	90S preribosome	16	8.56e-07
GO:0005852	eukaryotic translation initiation factor 3 complex	16	8.56e-07
GO:0000470	maturation of LSU-rRNA	16	8.56e-07
GO:1903050	regulation of proteolysis involved in cellular protein catabolic process	185	8.63e-07
GO:1903362	regulation of cellular protein catabolic process	203	9.59e-07
GO:0005667	transcription factor complex	182	9.96e-07
GO:0000123	histone acetyltransferase complex	75	1.04e-06
GO:0000793	condensed chromosome	84	1.1e-06
GO:0006289	nucleotide-excision repair	106	1.32e-06
GO:0090305	nucleic acid phosphodiester bond hydrolysis	107	1.97e-06
GO:0051649	establishment of localization in cell	1442	2.12e-06
GO:0003684	damaged DNA binding	46	2.64e-06
GO:0001228	transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding	175	2.74e-06
GO:0006354	DNA-templated transcription, elongation	108	2.93e-06
GO:0044248	cellular catabolic process	1177	2.98e-06
GO:0016573	histone acetylation	105	3.16e-06
GO:1901796	regulation of signal transduction by p53 class mediator	148	3.29e-06
GO:0000982	transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding	197	3.41e-06
GO:0006520	cellular amino acid metabolic process	226	3.49e-06
GO:1902493	acetyltransferase complex	84	4.51e-06
GO:0031248	protein acetyltransferase complex	84	4.51e-06
GO:0043414	macromolecule methylation	149	4.52e-06
GO:0004003	ATP-dependent DNA helicase activity	25	4.97e-06
GO:1903312	negative regulation of mRNA metabolic process	25	4.97e-06
GO:0006886	intracellular protein transport	705	5.71e-06
GO:0000380	alternative mRNA splicing, via spliceosome	32	5.88e-06
GO:0006473	protein acetylation	133	6.11e-06
GO:0032204	regulation of telomere maintenance	61	6.16e-06
GO:0032259	methylation	164	6.49e-06
GO:0005689	U12-type spliceosomal complex	21	6.65e-06
GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	21	6.65e-06
GO:0071011	precatalytic spliceosome	19	6.76e-06
GO:0000776	kinetochore	85	7.07e-06
GO:0000726	non-recombinational repair	53	7.79e-06
GO:0006475	internal protein amino acid acetylation	114	8.32e-06
GO:0018394	peptidyl-lysine acetylation	111	9.17e-06
GO:0003678	DNA helicase activity	40	9.59e-06
GO:0002479	antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent	59	9.88e-06
GO:0018393	internal peptidyl-lysine acetylation	108	1.01e-05
GO:0006303	double-strand break repair via nonhomologous end joining	48	1.04e-05
GO:0000980	RNA polymerase II distal enhancer sequence-specific DNA binding	43	1.29e-05
GO:1990391	DNA repair complex	33	1.44e-05
GO:0032784	regulation of DNA-templated transcription, elongation	33	1.44e-05
GO:0060071	Wnt signaling pathway, planar cell polarity pathway	90	1.59e-05
GO:0090175	regulation of establishment of planar polarity	90	1.59e-05
GO:0022607	cellular component assembly	1728	1.93e-05
GO:0005732	small nucleolar ribonucleoprotein complex	14	1.96e-05
GO:0016363	nuclear matrix	49	1.97e-05
GO:0030177	positive regulation of Wnt signaling pathway	120	2.15e-05
GO:0001076	transcription factor activity, RNA polymerase II transcription factor binding	94	2.24e-05
GO:0016605	PML body	55	2.54e-05
GO:0005686	U2 snRNP	16	2.68e-05
GO:0033119	negative regulation of RNA splicing	16	2.68e-05
GO:0006368	transcription elongation from RNA polymerase II promoter	85	2.71e-05
GO:0005839	proteasome core complex	18	2.91e-05
GO:0042826	histone deacetylase binding	70	3.14e-05
GO:0043596	nuclear replication fork	34	3.31e-05
GO:0005657	replication fork	50	3.63e-05
GO:0002474	antigen processing and presentation of peptide antigen via MHC class I	86	4.11e-05
GO:0005643	nuclear pore	56	4.45e-05
GO:0001738	morphogenesis of a polarized epithelium	99	4.46e-05
GO:0042590	antigen processing and presentation of exogenous peptide antigen via MHC class I	62	4.93e-05
GO:0003697	single-stranded DNA binding	68	5.07e-05
GO:0001736	establishment of planar polarity	93	5.3e-05
GO:0007164	establishment of tissue polarity	93	5.3e-05
GO:0000082	G1/S transition of mitotic cell cycle	186	5.34e-05
GO:0006457	protein folding	137	6.4e-05
GO:0031056	regulation of histone modification	84	6.59e-05
GO:0000460	maturation of 5.8S rRNA	23	7.46e-05
GO:0000731	DNA synthesis involved in DNA repair	69	8.11e-05
GO:0019899	enzyme binding	1282	0.000102
GO:0071010	prespliceosome	19	0.000113
GO:1904874	positive regulation of telomerase RNA localization to Cajal body	15	0.00012
GO:1904872	regulation of telomerase RNA localization to Cajal body	15	0.00012
GO:0000070	mitotic sister chromatid segregation	112	0.000132
GO:0051054	positive regulation of DNA metabolic process	143	0.000134
GO:1903902	positive regulation of viral life cycle	83	0.000158
GO:0018193	peptidyl-amino acid modification	802	0.000159
GO:0098781	ncRNA transcription	80	0.00017
GO:0044843	cell cycle G1/S phase transition	195	0.000195
GO:0090568	nuclear transcriptional repressor complex	24	0.000209
GO:0034502	protein localization to chromosome	54	0.000335
GO:0046364	monosaccharide biosynthetic process	60	0.000345
GO:0032451	demethylase activity	32	0.000361
GO:0070911	global genome nucleotide-excision repair	32	0.000361
GO:0000428	DNA-directed RNA polymerase complex	95	0.00037
GO:0055029	nuclear DNA-directed RNA polymerase complex	95	0.00037
GO:1901575	organic substance catabolic process	1344	0.000405
GO:0015630	microtubule cytoskeleton	720	0.000433
GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	295	0.00046
GO:1902580	single-organism cellular localization	821	0.000466
GO:0032508	DNA duplex unwinding	35	0.000478
GO:1902562	H4 histone acetyltransferase complex	35	0.000478
GO:0000075	cell cycle checkpoint	188	0.000505
GO:0031047	gene silencing by RNA	106	0.000511
GO:0090545	CHD-type complex	16	0.000524
GO:0016581	NuRD complex	16	0.000524
GO:0090670	RNA localization to Cajal body	16	0.000524
GO:0090672	telomerase RNA localization	16	0.000524
GO:0090671	telomerase RNA localization to Cajal body	16	0.000524
GO:0005682	U5 snRNP	14	0.000532
GO:0032452	histone demethylase activity	25	0.000532
GO:0075733	intracellular transport of virus	64	0.000539
GO:0006278	RNA-dependent DNA biosynthetic process	52	0.000542
GO:0010212	response to ionizing radiation	83	0.00055
GO:0017069	snRNA binding	30	0.000552
GO:2001252	positive regulation of chromosome organization	55	0.000555
GO:0043543	protein acylation	152	0.000586
GO:0004407	histone deacetylase activity	38	0.00059
GO:0033558	protein deacetylase activity	38	0.00059
GO:0044430	cytoskeletal part	873	0.000667
GO:0031331	positive regulation of cellular catabolic process	227	0.000667
GO:0032392	DNA geometric change	41	0.00069
GO:0030880	RNA polymerase complex	97	0.000737
GO:0045732	positive regulation of protein catabolic process	209	0.000826
GO:0008213	protein alkylation	94	0.000827
GO:0006479	protein methylation	94	0.000827
GO:1902581	multi-organism cellular localization	65	0.000837
GO:1902583	multi-organism intracellular transport	65	0.000837
GO:0045862	positive regulation of proteolysis	287	0.000906
GO:0000209	protein polyubiquitination	221	0.000932
GO:0016574	histone ubiquitination	36	0.000935
GO:0032786	positive regulation of DNA-templated transcription, elongation	21	0.00106
GO:0033683	nucleotide-excision repair, DNA incision	39	0.0011
GO:0035966	response to topologically incorrect protein	133	0.00113
GO:0048524	positive regulation of viral process	95	0.00116
GO:0003743	translation initiation factor activity	31	0.00116
GO:0071339	MLL1 complex	26	0.00125
GO:0044665	MLL1/2 complex	26	0.00125
GO:0051053	negative regulation of DNA metabolic process	92	0.00131
GO:0006986	response to unfolded protein	123	0.00134
GO:0001104	RNA polymerase II transcription cofactor activity	63	0.00135
GO:0022624	proteasome accessory complex	19	0.00142
GO:0034504	protein localization to nucleus	262	0.00143
GO:0042787	protein ubiquitination involved in ubiquitin-dependent protein catabolic process	174	0.00144
GO:0007004	telomere maintenance via telomerase	51	0.00145
GO:0006399	tRNA metabolic process	106	0.0015
GO:0016591	DNA-directed RNA polymerase II, holoenzyme	76	0.00153
GO:0033036	macromolecule localization	1737	0.00161
GO:0010948	negative regulation of cell cycle process	182	0.00163
GO:0031965	nuclear membrane	149	0.00172
GO:0009314	response to radiation	271	0.00175
GO:0006296	nucleotide-excision repair, DNA incision, 5'-to lesion	37	0.00176
GO:0006418	tRNA aminoacylation for protein translation	37	0.00176
GO:0016567	protein ubiquitination	463	0.00179
GO:0030687	preribosome, large subunit precursor	17	0.00182
GO:0000154	rRNA modification	17	0.00182
GO:0097526	spliceosomal tri-snRNP complex	24	0.00186
GO:0046794	transport of virus	67	0.00194
GO:0048025	negative regulation of mRNA splicing, via spliceosome	11	0.00205
GO:1904816	positive regulation of protein localization to chromosome, telomeric region	11	0.00205
GO:0035064	methylated histone binding	43	0.00217
GO:0006312	mitotic recombination	43	0.00217
GO:0008023	transcription elongation factor complex	43	0.00217
GO:0008327	methyl-CpG binding	15	0.00218
GO:0001191	transcriptional repressor activity, RNA polymerase II transcription factor binding	61	0.00218
GO:0007067	mitotic nuclear division	237	0.00221
GO:0035567	non-canonical Wnt signaling pathway	132	0.00225
GO:0000974	Prp19 complex	13	0.00233
GO:1904814	regulation of protein localization to chromosome, telomeric region	13	0.00233
GO:0031329	regulation of cellular catabolic process	301	0.00252
GO:0044798	nuclear transcription factor complex	101	0.00268
GO:0006298	mismatch repair	27	0.00277
GO:0006336	DNA replication-independent nucleosome assembly	35	0.00281
GO:0034724	DNA replication-independent nucleosome organization	35	0.00281
GO:0034508	centromere complex assembly	35	0.00281
GO:1902579	multi-organism localization	68	0.0029
GO:0044766	multi-organism transport	68	0.0029
GO:0042176	regulation of protein catabolic process	290	0.00298
GO:0034248	regulation of cellular amide metabolic process	231	0.0031
GO:0031570	DNA integrity checkpoint	137	0.00324
GO:0043632	modification-dependent macromolecule catabolic process	405	0.00331
GO:0019941	modification-dependent protein catabolic process	397	0.00345
GO:0002478	antigen processing and presentation of exogenous peptide antigen	152	0.00357
